,background,input,output,math,dp,implementation,greedy,data structures,sortings,combinatorics,dfs,graphs,trees,divide and conquer,constructive algorithms,brute force,strings,binary search,bitmasks,number theory,two pointers,dsu,geometry
2163,"You are given n numbers a1,_2,...,_n. You can perform at most k operations. For each operation you can multiply one of the numbers by x. We want to make as large as possible, where denotes the bitwise OR. Find the maximum possible value of after performing at most k operations optimally."," The first line contains three integers n, k and x (1_____200000, 1_____10, 2_____8). The second line contains n integers a1,_2,...,_n (0___i__109).",Output the maximum value of a bitwise OR of sequence elements after performing operations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3299,"Harry Potter is on a mission to destroy You-Know-Who's Horcruxes. The first Horcrux that he encountered in the Chamber of Secrets is Tom Riddle's diary. The diary was with Ginny and it forced her to open the Chamber of Secrets. Harry wants to know the different people who had ever possessed the diary to make sure they are not under its influence. He has names of n people who possessed the diary in order. You need to tell, for each person, if he/she possessed the diary at some point before or not. Formally, for a name si in the i-th line, output ""YES"" (without quotes) if there exists an index j such that si=_j and j<_, otherwise, output ""NO"" (without quotes)."," First line of input contains an integer n (1_____100)   the number of names in the list. Next n lines each contain a string si, consisting of lowercase English letters. The length of each string is between 1 and 100.","Output n lines each containing either ""YES"" or ""NO"" (without quotes), depending on whether this string was already present in the stream or not.",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1070,"You are given a system of pipes. It consists of two rows, each row consists of n n pipes. The top left pipe has the coordinates (1,1) ( and the bottom right  (2,n) ( . There are six types of pipes: two types of straight pipes and four types of curved pipes. Here are the examples of all six types: Types of pipes You can turn each of the given pipes 90 90 degrees clockwise or counterclockwise arbitrary (possibly, zero) number of times (so the types 1 1 and 2 2 can become each other and types 3,4,5,6 3 can become each other). You want to turn some pipes in a way that the water flow can start at (1,0) ( (to the left of the top left pipe), move to the pipe at (1,1) ( , flow somehow by connected pipes to the pipe at (2,n) ( and flow right to (2,n+1) ( . Pipes are connected if they are adjacent in the system and their ends are connected. Here are examples of connected pipes: Examples of connected pipes Let's describe the problem using some example: The first example input And its solution is below: The first example answer As you can see, the water flow is the poorly drawn blue line. To obtain the answer, we need to turn the pipe at (1,2) ( 90 90 degrees clockwise, the pipe at (2,3) ( 90 90 degrees, the pipe at (1,6) ( 90 90 degrees, the pipe at (1,7) ( 180 180 degrees and the pipe at (2,7) ( 180 180 degrees. Then the flow of water can reach (2,n+1) ( from (1,0) ( . You have to answer q q independent queries."," The first line of the input contains one integer q q ( 1_ 10 4 1 )  the number of queries. Then q q queries follow. Each query consists of exactly three lines. The first line of the query contains one integer n n ( 1_2 10 5 1 )  the number of pipes in each row. The next two lines contain a description of the first and the second rows correspondingly. Each row description consists of n n digits from 1 1 to 6 6 without any whitespaces between them, each digit corresponds to the type of pipe in the corresponding cell. See the problem statement to understand which digits correspond to which types of pipes. It is guaranteed that the sum of n n over all queries does not exceed 2 10 5 2 .","For the i i -th query print the answer for it  ""YES"" (without quotes) if it is possible to turn some pipes in a way that the water flow can reach (2,n+1) ( from (1,0) ( , and ""NO"" otherwise.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,"Petya has a simple graph (that is, a graph without loops or multiple edges) consisting of n n vertices and m m edges. The weight of the i i -th vertex is a i a . The weight of the i i -th edge is w i w . A subgraph of a graph is some set of the graph vertices and some set of the graph edges. The set of edges must meet the condition: both ends of each edge from the set must belong to the chosen set of vertices. The weight of a subgraph is the sum of the weights of its edges, minus the sum of the weights of its vertices. You need to find the maximum weight of subgraph of given graph. The given graph does not contain loops and multiple edges."," The first line contains two numbers n n and m m ( 1_ 10 3 ,0_ 10 3 1 ) - the number of vertices and edges in the graph, respectively. The next line contains n n integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 ) - the weights of the vertices of the graph. The following m m lines contain edges: the i i -e edge is defined by a triple of integers v i , u i , w i v ( 1 v i , u i _,1 w i  10 9 , v i  u i 1 ). This triple means that between the vertices v i v and u i u there is an edge of weight w i w . It is guaranteed that the graph does not contain loops and multiple edges.",Print one integer  the maximum weight of the subgraph of the given graph.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,"The heat during the last few days has been really intense. Scientists from all over the Berland study how the temperatures and weather change, and they claim that this summer is abnormally hot. But any scientific claim sounds a lot more reasonable if there are some numbers involved, so they have decided to actually calculate some value which would represent how high the temperatures are. Mathematicians of Berland State University came up with a special heat intensity value. This value is calculated as follows: Suppose we want to analyze the segment of n n consecutive days. We have measured the temperatures during these n n days; the temperature during i i -th day equals a i a . We denote the average temperature of a segment of some consecutive days as the arithmetic mean of the temperature measures during this segment of days. So, if we want to analyze the average temperature from day x x to day y y , we calculate it as  i=x y a i y_+1  (note that division is performed without any rounding). The heat intensity value is the maximum of average temperatures over all segments of not less than k k consecutive days. For example, if analyzing the measures [3,4,1,2] [ and k=3 k , we are interested in segments [3,4,1] [ , [4,1,2] [ and [3,4,1,2] [ (we want to find the maximum value of average temperature over these segments). You have been hired by Berland State University to write a program that would compute the heat intensity value of a given period of days. Are you up to this task?"," The first line contains two integers n n and k k ( 1__5000 1 )  the number of days in the given period, and the minimum number of days in a segment we consider when calculating heat intensity value, respectively. The second line contains n n integers a 1 a , a 2 a , ..., a n a ( 1 a i 5000 1 )  the temperature measures during given n n days.","Print one real number  the heat intensity value, i. e., the maximum of average temperatures over all segments of not less than k k consecutive days.",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3333,"Ilya is working for the company that constructs robots. Ilya writes programs for entertainment robots, and his current project is ""Bob"", a new-generation game robot. Ilya's boss wants to know his progress so far. Especially he is interested if Bob is better at playing different games than the previous model, ""Alice"". So now Ilya wants to compare his robots' performance in a simple game called ""1-2-3"". This game is similar to the ""Rock-Paper-Scissors"" game: both robots secretly choose a number from the set {1,2,3} and say it at the same moment. If both robots choose the same number, then it's a draw and noone gets any points. But if chosen numbers are different, then one of the robots gets a point: 3 beats 2, 2 beats 1 and 1 beats 3. Both robots' programs make them choose their numbers in such a way that their choice in (i+1)-th game depends only on the numbers chosen by them in i-th game. Ilya knows that the robots will play k games, Alice will choose number a in the first game, and Bob will choose b in the first game. He also knows both robots' programs and can tell what each robot will choose depending on their choices in previous game. Ilya doesn't want to wait until robots play all k games, so he asks you to predict the number of points they will have after the final game."," The first line contains three numbers k, a, b (1_____1018, 1___,___3). Then 3 lines follow, i-th of them containing 3 numbers Ai,1, Ai,2, Ai,3, where Ai,_ represents Alice's choice in the game if Alice chose i in previous game and Bob chose j (1___i,___3). Then 3 lines follow, i-th of them containing 3 numbers Bi,1, Bi,2, Bi,3, where Bi,_ represents Bob's choice in the game if Alice chose i in previous game and Bob chose j (1___i,___3).","Print two numbers. First of them has to be equal to the number of points Alice will have, and second of them must be Bob's score after k games.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3487,"You are given a connected undirected graph with n vertices and m edges. The vertices are enumerated from 1 to n. You are given n integers c1,_2,...,_n, each of them is between -_ and n, inclusive. It is also guaranteed that the parity of cv equals the parity of degree of vertex v. The degree of a vertex is the number of edges connected to it. You are to write a weight between -2·n2 and 2·n2 (inclusive) on each edge in such a way, that for each vertex v the sum of weights on edges connected to this vertex is equal to cv, or determine that this is impossible."," The first line contains two integers n and m (2_____105, n-1_____105)   the number of vertices and the number of edges. The next line contains n integers c1,_2,...,_n (-____i___), where ci is the required sum of weights of edges connected to vertex i. It is guaranteed that the parity of ci equals the parity of degree of vertex i. The next m lines describe edges of the graph. The i-th of these lines contains two integers ai and bi (1___i,_i___; ai___i), meaning that the i-th edge connects vertices ai and bi. It is guaranteed that the given graph is connected and does not contain loops and multiple edges.","If there is no solution, print ""NO"".",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1379,"Sereja loves all sorts of algorithms. He has recently come up with a new algorithm, which receives a string as an input. Let's represent the input string of the algorithm as q=_1q2... qk. The algorithm consists of two steps: Find any continuous subsequence (substring) of three characters of string q, which doesn't equal to either string ""zyx"", ""xzy"", ""yxz"". If q doesn't contain any such subsequence, terminate the algorithm, otherwise go to step 2. Rearrange the letters of the found subsequence randomly and go to step 1. Sereja thinks that the algorithm works correctly on string q if there is a non-zero probability that the algorithm will be terminated. But if the algorithm anyway will work for infinitely long on a string, then we consider the algorithm to work incorrectly on this string. Sereja wants to test his algorithm. For that, he has string s=_1s2... sn, consisting of n characters. The boy conducts a series of m tests. As the i-th test, he sends substring slisli+1... sri (1___i___i___) to the algorithm input. Unfortunately, the implementation of his algorithm works too long, so Sereja asked you to help. For each test (li,_i) determine if the algorithm works correctly on this test or not."," The first line contains non-empty string s, its length (n) doesn't exceed 105. It is guaranteed that string s only contains characters: 'x', 'y', 'z'. The second line contains integer m (1_____105)   the number of tests. Next m lines contain the tests. The i-th line contains a pair of integers li, ri (1___i___i___).","For each test, print ""YES"" (without the quotes) if the algorithm works correctly on the corresponding test and ""NO"" (without the quotes) otherwise.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3452,"In a dream Marco met an elderly man with a pair of black glasses. The man told him the key to immortality and then disappeared with the wind of time. When he woke up, he only remembered that the key was a sequence of positive integers of some length n, but forgot the exact sequence. Let the elements of the sequence be a1,_2,...,_n. He remembered that he calculated gcd(ai,_i+1,...,_j) for every 1_________ and put it into a set S. gcd here means the greatest common divisor. Note that even if a number is put into the set S twice or more, it only appears once in the set. Now Marco gives you the set S and asks you to help him figure out the initial sequence. If there are many solutions, print any of them. It is also possible that there are no sequences that produce the set S, in this case print -1."," The first line contains a single integer m (1_____1000)   the size of the set S. The second line contains m integers s1,_2,...,_m (1___i__106)   the elements of the set S. It's guaranteed that the elements of the set are given in strictly increasing order, that means s1<_2<...<_m.","If there is no solution, print a single line containing -1.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
842,"Vus the Cossack has n n real numbers a i a . It is known that the sum of all numbers is equal to 0 0 . He wants to choose a sequence b b the size of which is n n such that the sum of all numbers is 0 0 and each b i b is either  a i   or  a i   . In other words, b i b equals a i a rounded up or down. It is not necessary to round to the nearest integer. For example, if a=[4.58413,1.22491,2.10517,3.70387] a , then b b can be equal, for example, to [4,2,2,4] [ . Note that if a i a is an integer, then there is no difference between  a i   and  a i   , b i b will always be equal to a i a . Help Vus the Cossack find such sequence!", The first line contains one integer n n ( 1_ 10 5 1 )  the number of numbers. Each of the next n n lines contains one real number a i a ( | a i |< 10 5 | ). It is guaranteed that each a i a has exactly 5 5 digits after the decimal point. It is guaranteed that the sum of all the numbers is equal to 0 0 .,"In each of the next n n lines, print one integer b i b . For each i i , | a i  b i |<1 | must be met.",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2836,The winter in Berland lasts n days. For each day we know the forecast for the average air temperature that day. Vasya has a new set of winter tires which allows him to drive safely no more than k days at any average air temperature. After k days of using it (regardless of the temperature of these days) the set of winter tires wears down and cannot be used more. It is not necessary that these k days form a continuous segment of days. Before the first winter day Vasya still uses summer tires. It is possible to drive safely on summer tires any number of days when the average air temperature is non-negative. It is impossible to drive on summer tires at days when the average air temperature is negative. Vasya can change summer tires to winter tires and vice versa at the beginning of any day. Find the minimum number of times Vasya needs to change summer tires to winter tires and vice versa to drive safely during the winter. At the end of the winter the car can be with any set of tires.," The first line contains two positive integers n and k (1_____2·105, 0______)   the number of winter days and the number of days winter tires can be used. It is allowed to drive on winter tires at any temperature, but no more than k days in total. The second line contains a sequence of n integers t1,_2,...,_n (-20___i__20)   the average air temperature in the i-th winter day.","Print the minimum number of times Vasya has to change summer tires to winter tires and vice versa to drive safely during all winter. If it is impossible, print -1.",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,You are given an array of length n and a number k. Let's pick k non-overlapping non-empty subarrays of the initial array. Let si be the sum of the i-th subarray in order from left to right. Compute the maximum value of the following expression: |s1-_2|+|s2-_3|+...+|sk-1-_k| Here subarray is a contiguous part of an array.," The first line of input contains two integers n and k. The second line contains n integers   the elements of the array. The absolute values of elements do not exceed 104. The problem consists of two subproblems. The subproblems have different constraints on the input. You will get some score for the correct submission of the subproblem. The description of the subproblems follows. In subproblem E1 (9 points), constraints 2_____400, 2______in(n,50) will hold. In subproblem E2 (12 points), constraints 2_____30000, 2______in(n,200) will hold.",Output a single integer   the maximum possible value.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2996,"Anton likes permutations, especially he likes to permute their elements. Note that a permutation of n elements is a sequence of numbers {a1,_2,...,_n}, in which every number from 1 to n appears exactly once. One day Anton got a new permutation and started to play with it. He does the following operation q times: he takes two elements of the permutation and swaps these elements. After each operation he asks his friend Vanya, how many inversions there are in the new permutation. The number of inversions in a permutation is the number of distinct pairs (i,_) such that 1___<____ and ai>_j. Vanya is tired of answering Anton's silly questions. So he asked you to write a program that would answer these questions instead of him. Initially Anton's permutation was {1,2,...,_}, that is ai=_ for all i such that 1______."," The first line of the input contains two integers n and q (1_____200000,1_____50000)   the length of the permutation and the number of operations that Anton does. Each of the following q lines of the input contains two integers li and ri (1___i,_i___)   the indices of elements that Anton swaps during the i-th operation. Note that indices of elements that Anton swaps during the i-th operation can coincide. Elements in the permutation are numbered starting with one.",Output q lines. The i-th line of the output is the number of inversions in the Anton's permutation after the i-th operation.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2812,"All of us know that girls in Arpa_ land are... ok, you_e got the idea :D Anyone knows that Arpa isn't a normal man, he is ... well, sorry, I can't explain it more. Mehrdad is interested about the reason, so he asked Sipa, one of the best biology scientists in Arpa's land, for help. Sipa has a DNA editor. Sipa put Arpa under the DNA editor. DNA editor showed Arpa's DNA as a string S consisting of n lowercase English letters. Also Sipa has another DNA T consisting of lowercase English letters that belongs to a normal man. Now there are (n+1) options to change Arpa's DNA, numbered from 0 to n. i-th of them is to put T between i-th and (i+1)-th characters of S (0______). If i=0, T will be put before S, and if i=_, it will be put after S. Mehrdad wants to choose the most interesting option for Arpa's DNA among these n+1 options. DNA A is more interesting than B if A is lexicographically smaller than B. Mehrdad asked Sipa q questions: Given integers l,_,_,_,_, what is the most interesting option if we only consider such options i that l______ and ? If there are several most interesting options, Mehrdad wants to know one with the smallest number i. Since Sipa is a biology scientist but not a programmer, you should help him."," The first line contains strings S, T and integer q (1__|S|,|T|,___105)   Arpa's DNA, the DNA of a normal man, and the number of Mehrdad's questions. The strings S and T consist only of small English letters. Next q lines describe the Mehrdad's questions. Each of these lines contain five integers l,_,_,_,_ (0_________, 1______, 0______<_).","Print q integers. The j-th of them should be the number i of the most interesting option among those that satisfy the conditions of the j-th question. If there is no option i satisfying the conditions in some question, print -1.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,"Ani and Borna are playing a short game on a two-variable polynomial. It's a special kind of a polynomial: the monomials are fixed, but all of its coefficients are fill-in-the-blanks dashes, e.g. _xy+_ x 4 y 7 +_ x 8 y 3 + _xy+_x4y7+_x8y3+ Borna will fill in the blanks with positive integers. He wants the polynomial to be bounded from below, i.e. his goal is to make sure there exists a real number M M such that the value of the polynomial at any point is greater than M M . Ani is mischievous, and wants the polynomial to be unbounded. Along with stealing Borna's heart, she can also steal parts of polynomials. Ani is only a petty kind of thief, though: she can only steal at most one monomial from the polynomial before Borna fills in the blanks. If Ani and Borna play their only moves optimally, who wins?"," The first line contains a positive integer N N (2_200000) ( , denoting the number of the terms in the starting special polynomial. Each of the following N N lines contains a description of a monomial: the k k -th line contains two **space**-separated integers a k a and b k b (0 a k , b k  10 9 ( ) which mean the starting polynomial has the term _ x a k y b k _ . It is guaranteed that for k_ k , either a k  a l a or b k  b l b .","If Borna can always choose the coefficients such that the resulting polynomial is bounded from below, regardless of what monomial Ani steals, output ""Borna"". Else, output ""Ani"".",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1422,"Pavel loves grid mazes. A grid maze is an n___ rectangle maze where each cell is either empty, or is a wall. You can go from one cell to another only if both cells are empty and have a common side. Pavel drew a grid maze with all empty cells forming a connected area. That is, you can go from any empty cell to any other one. Pavel doesn't like it when his maze has too little walls. He wants to turn exactly k empty cells into walls so that all the remaining cells still formed a connected area. Help him."," The first line contains three integers n, m, k (1___,___500, 0___<_), where n and m are the maze's height and width, correspondingly, k is the number of walls Pavel wants to add and letter s represents the number of empty cells in the original maze. Each of the next n lines contains m characters. They describe the original maze. If a character on a line equals ""."", then the corresponding cell is empty and if the character equals ""#"", then the cell is a wall.","Print n lines containing m characters each: the new maze that fits Pavel's requirements. Mark the empty cells that you transformed into walls as ""X"", the other cells must be left without changes (that is, ""."" and ""#"").",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3170,"You are given two strings s and t consisting of small Latin letters, string s can also contain '?' characters. Suitability of string s is calculated by following metric: Any two letters can be swapped positions, these operations can be performed arbitrary number of times over any pair of positions. Among all resulting strings s, you choose the one with the largest number of non-intersecting occurrences of string t. Suitability is this number of occurrences. You should replace all '?' characters with small Latin letters in such a way that the suitability of string s is maximal.", The first line contains string s (1__|s|__106). The second line contains string t (1__|t|__106).,Print string s with '?' replaced with small Latin letters in such a way that suitability of that string is maximal.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
695,"You are given a string, consisting of lowercase Latin letters. A pair of neighbouring letters in a string is considered ugly if these letters are also neighbouring in a alphabet. For example, string ""abaca"" contains ugly pairs at positions (1,2) (  ""ab"" and (2,3) (  ""ba"". Letters 'a' and 'z' aren't considered neighbouring in a alphabet. Can you rearrange the letters of a given string so that there are no ugly pairs? You can choose any order of the letters of the given string but you can't add any new letters or remove the existing ones. You can also leave the order the same. If there are multiple answers, print any of them. You also have to answer T T separate queries.", The first line contains a single integer T T ( 1_100 1 )  the number of queries. Each of the next T T lines contains string s s (1|s|100) (  the string for the next query. It is guaranteed that it contains only lowercase Latin letters. Note that in hacks you have to set T=1 T .,Print T T lines. The i i -th line should contain the answer to the i i -th query.,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1031,"Sasha grew up and went to first grade. To celebrate this event her mother bought her a multiplication table M M with n n rows and n n columns such that M ij = a i  a j M where a 1 ,, a n a is some sequence of positive integers. Of course, the girl decided to take it to school with her. But while she was having lunch, hooligan Grisha erased numbers on the main diagonal and threw away the array a 1 ,, a n a . Help Sasha restore the array!"," The first line contains a single integer n n ( 3�_� 10 3 3 ), the size of the table. The next n n lines contain n n integers each. The j j -th number of the i i -th line contains the number M ij M ( 1 M ij  10 9 1 ). The table has zeroes on the main diagonal, that is, M ii =0 M .","In a single line print n n integers, the original array a 1 ,, a n a ( 1 a i  10 9 1 ). It is guaranteed that an answer exists. If there are multiple answers, print any.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2524,"This problem is given in two versions that differ only by constraints. If you can solve this problem in large constraints, then you can just write a single solution to the both versions. If you find the problem too difficult in large constraints, you can write solution to the simplified version only. Waking up in the morning, Apollinaria decided to bake cookies. To bake one cookie, she needs n ingredients, and for each ingredient she knows the value ai   how many grams of this ingredient one needs to bake a cookie. To prepare one cookie Apollinaria needs to use all n ingredients. Apollinaria has bi gram of the i-th ingredient. Also she has k grams of a magic powder. Each gram of magic powder can be turned to exactly 1 gram of any of the n ingredients and can be used for baking cookies. Your task is to determine the maximum number of cookies, which Apollinaria is able to bake using the ingredients that she has and the magic powder."," The first line of the input contains two positive integers n and k (1___,___1000)   the number of ingredients and the number of grams of the magic powder. The second line contains the sequence a1,_2,...,_n (1___i__1000), where the i-th number is equal to the number of grams of the i-th ingredient, needed to bake one cookie. The third line contains the sequence b1,_2,...,_n (1___i__1000), where the i-th number is equal to the number of grams of the i-th ingredient, which Apollinaria has.","Print the maximum number of cookies, which Apollinaria will be able to bake using the ingredients that she has and the magic powder.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2775,"Polycarp urgently needs a shovel! He comes to the shop and chooses an appropriate one. The shovel that Policarp chooses is sold for k burles. Assume that there is an unlimited number of such shovels in the shop. In his pocket Polycarp has an unlimited number of ""10-burle coins"" and exactly one coin of r burles (1_____9). What is the minimum number of shovels Polycarp has to buy so that he can pay for the purchase without any change? It is obvious that he can pay for 10 shovels without any change (by paying the requied amount of 10-burle coins and not using the coin of r burles). But perhaps he can buy fewer shovels and pay without any change. Note that Polycarp should buy at least one shovel."," The single line of input contains two integers k and r (1_____1000, 1_____9)   the price of one shovel and the denomination of the coin in Polycarp's pocket that is different from ""10-burle coins"". Remember that he has an unlimited number of coins in the denomination of 10, that is, Polycarp has enough money to buy any number of shovels.",Print the required minimum number of shovels Polycarp has to buy so that he can pay for them without any change.,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2143,"Would you want to fight against bears riding horses? Me neither. Limak is a grizzly bear. He is general of the dreadful army of Bearland. The most important part of an army is cavalry of course. Cavalry of Bearland consists of n warriors and n horses. i-th warrior has strength wi and i-th horse has strength hi. Warrior together with his horse is called a unit. Strength of a unit is equal to multiplied strengths of warrior and horse. Total strength of cavalry is equal to sum of strengths of all n units. Good assignment of warriors and horses makes cavalry truly powerful. Initially, i-th warrior has i-th horse. You are given q queries. In each query two warriors swap their horses with each other. General Limak must be ready for every possible situation. What if warriors weren't allowed to ride their own horses? After each query find the maximum possible strength of cavalry if we consider assignments of all warriors to all horses that no warrior is assigned to his own horse (it can be proven that for n__2 there is always at least one correct assignment). Note that we can't leave a warrior without a horse."," The first line contains two space-separated integers, n and q (2_____30 000, 1_____10 000). The second line contains n space-separated integers, w1,_2,...,_n (1___i__106)   strengths of warriors. The third line contains n space-separated integers, h1,_2,...,_n (1___i__106)   strengths of horses. Next q lines describe queries. i-th of them contains two space-separated integers ai and bi (1___i,_i___, ai___i), indices of warriors who swap their horses with each other.",Print q lines with answers to queries. In i-th line print the maximum possible strength of cavalry after first i queries.,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1369,"We'll call a set of positive integers a beautiful if the following condition fulfills: for any prime p, if , then . In other words, if one number from the set is divisible by prime p, then at least half of numbers from the set is divisible by p. Your task is to find any beautiful set, where the number of elements is equal to k and each element doesn't exceed 2k2.", The first line contains integer k (10_____5000) that shows how many numbers the required beautiful set should have.,"In the first line print k space-separated integers that are a beautiful set. If there are multiple such sets, you are allowed to print any of them.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1636,"At the children's day, the child came to Picks's house, and messed his house up. Picks was angry at him. A lot of important things were lost, in particular the favorite sequence of Picks. Fortunately, Picks remembers how to repair the sequence. Initially he should create an integer array a[1],_[2],...,_[n]. Then he should perform a sequence of m operations. An operation can be one of the following: Print operation l,_. Picks should write down the value of . Modulo operation l,_,_. Picks should perform assignment a[i]=_[i] mod x for each i (l______). Set operation k,_. Picks should set the value of a[k] to x (in other words perform an assignment a[k]=_). Can you help Picks to perform the whole sequence of operations?"," The first line of input contains two integer: n,_ (1___,___105). The second line contains n integers, separated by space: a[1],_[2],...,_[n] (1___[i]__109)   initial value of array elements. Each of the next m lines begins with a number type . If type=1, there will be two integers more in the line: l,_ (1_________), which correspond the operation 1. If type=2, there will be three integers more in the line: l,_,_ (1_________; 1_____109), which correspond the operation 2. If type=3, there will be two integers more in the line: k,_ (1______; 1_____109), which correspond the operation 3.","For each operation 1, please print a line containing the answer. Notice that the answer may exceed the 32-bit integer.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,"You are given an array a 1 , a 2 ,, a n a . You can remove at most one subsegment from it. The remaining elements should be pairwise distinct. In other words, at most one time you can choose two integers l l and r r ( 1___ 1 ) and delete integers a l , a l+1 ,, a r a from the array. Remaining elements should be pairwise distinct. Find the minimum size of the subsegment you need to remove to make all remaining elements distinct."," The first line of the input contains a single integer n n ( 1_2000 1 )  the number of elements in the given array. The next line contains n n spaced integers a 1 , a 2 ,, a n a ( 1 a i  10 9 1 )  the elements of the array.","Print a single integer  the minimum size of the subsegment you need to remove to make all elements of the array pairwise distinct. If no subsegment needs to be removed, print 0 0 .",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3114,"On his trip to Luxor and Aswan, Sagheer went to a Nubian market to buy some souvenirs for his friends and relatives. The market has some strange rules. It contains n different items numbered from 1 to n. The i-th item has base cost ai Egyptian pounds. If Sagheer buys k items with indices x1,_2,...,_k, then the cost of item xj is axj+_j·k for 1______. In other words, the cost of an item is equal to its base cost in addition to its index multiplied by the factor k. Sagheer wants to buy as many souvenirs as possible without paying more than S Egyptian pounds. Note that he cannot buy a souvenir more than once. If there are many ways to maximize the number of souvenirs, he will choose the way that will minimize the total cost. Can you help him with this task?"," The first line contains two integers n and S (1_____105 and 1_____109)   the number of souvenirs in the market and Sagheer's budget. The second line contains n space-separated integers a1,_2,...,_n (1___i__105)   the base costs of the souvenirs.","On a single line, print two integers k, T   the maximum number of souvenirs Sagheer can buy and the minimum total cost to buy these k souvenirs.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3233,"Today at the lesson Vitya learned a very interesting function   mex. Mex of a sequence of numbers is the minimum non-negative number that is not present in the sequence as element. For example, mex([4,33,0,1,1,5])=2 and mex([1,2,3])=0. Vitya quickly understood all tasks of the teacher, but can you do the same? You are given an array consisting of n non-negative integers, and m queries. Each query is characterized by one number x and consists of the following consecutive steps: Perform the bitwise addition operation modulo 2 (xor) of each array element with the number x. Find mex of the resulting array. Note that after each query the array changes."," First line contains two integer numbers n and m (1___,___3·105)   number of elements in array and number of queries. Next line contains n integer numbers ai (0___i__3·105)   elements of then array. Each of next m lines contains query   one integer number x (0_____3·105).",For each query print the answer on a separate line.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3304,"Nagini, being a horcrux You-know-who created with the murder of Bertha Jorkins, has accumulated its army of snakes and is launching an attack on Hogwarts school. Hogwarts' entrance can be imagined as a straight line (x-axis) from 1 to 105. Nagini is launching various snakes at the Hogwarts entrance. Each snake lands parallel to the entrance, covering a segment at a distance k from x=_ to x=_. Formally, each snake can be imagined as being a line segment between points (l,_) and (r,_). Note that k can be both positive and negative, but not 0. Let, at some x-coordinate x=_, there be snakes at point (i,_1) and point (i,_2), such that y1>0 and y2<0. Then, if for any point (i,_3) containing a snake such that y3>0, y1___3 holds and for any point (i,_4) containing a snake such that y4<0, |y2|__|y4| holds, then the danger value at coordinate x=_ is y1+|y2|. If no such y1 and y2 exist, danger value is 0. Harry wants to calculate the danger value of various segments of the Hogwarts entrance. Danger value for a segment [l,_) of the entrance can be calculated by taking the sum of danger values for each integer x-coordinate present in the segment. Formally, you have to implement two types of queries: 1 l r k: a snake is added parallel to entrance from x=_ to x=_ at y-coordinate y=_ (l inclusive, r exclusive). 2 l r: you have to calculate the danger value of segment l to r (l inclusive, r exclusive)."," First line of input contains a single integer q (1_____5·104) denoting the number of queries. Next q lines each describe a query. Each query description first contains the query type typei (1___ypei__2). This is followed by further description of the query. In case of the type being 1, it is followed by integers li,_i and ki (, -109___i__109, k__0). Otherwise, it just contains two integers, li and ri (1___i<_i__105).",Output the answer for each query of type 2 in a separate line.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
