BID,Plot,math,constructive algorithm,search,brute force,geometry,string,data structures,sortings,dp
1108/F,given undirected weighted connected graph vertex edge without loop multiple edge edge distance vertex along edge graph connected pair vertex least path consisting edge given graph minimum spanning tree mst case positive weight subset edge connected weighted undirected graph connects vertex together minimum total cost subset total cost sum cost chosen edge modify given graph operation perform following increase weight edge increase weight edge multiple possibly time suppose initial mst cost problem increase weight edge minimum possible operation way cost mst obtained graph remains mst unique mean way choose mst obtained graph problem calculate minimum operation required input vertex edge initial graph next description edge denoted vertex connected edge weight edge guaranteed given graph loop multiple edge unordered pair vertex edge connecting pair vertex guaranteed given graph connected print minimum operation unify mst initial graph without changing cost mst,0,0,1,0,0,0,1,1,0
1109/A,sasha like programming long contest sasha decided bit tired needed relax since sasha ordinary guy prefers relax unusually leisure time sasha like upsolve unsolved problem upsolving useful therefore sasha decided upsolve following problem array need count funny pair check pair funny pair take mid even mid mid mid pair funny word element left half subarray equal element right half note denotes bitwise xor operation time continue solving contest sasha asked solve task size array second array print funny pair consider pair even,0,0,0,0,0,0,0,0,1
1109/B,reading book sasha passion reading book became acquainted unusual character character told like many name many country mithrandir elf thark dwarf rin youth west forgotten south inc north gandalf east moment sasha thought would character called east east name palindrome string palindrome read backward forward example string kazak palindrome string abb sasha believed hero would named god east long equal name east people following wrote original name string piece paper cut paper minimum time got piece paper substring initial string unite piece together get new string piece turned could shuffled way possible achive string abcdefg stringabc using cut swapping paper substring abc string cbadefg received using cut formally sasha want given palindrome find minimum cut string part unite way final string palindrome equal initial string answer print impossible without quote string initial name consists lowercase latin letter guaranteed palindrome print minimum cut needed get new name impossible without quote,0,1,0,0,0,1,0,0,0
1109/C,fedya sasha friend sasha know everything fedya fedya keep patience infinitely large bowl unlike bowl fedya patience infinite let liter fedya patience soon becomes equal bowl burst immediately tap bowl pump liter patience per second notice negative case tap pump patience sasha different thing able change tap speed action sasha doe represented query type query add new event mean starting second tap speed equal delete event happens second guaranteed event exists sasha wonder take event simulate change fedya patience beginning second till beginning second inclusive initial volume patience beginning second equal liter moment bowl burst doe happen answer since sasha doe want check happen fedya patience end already come query asking help find answer query type guaranteed moment time event happen second contans query next following format mean new event added mean starting second tap speed equal mean event happens second must deleted guaranteed exists mean simulate process beginning second till beginning second inclusive say bowl burst guaranteed query guaranteed least query type query type already exists event happens second query type print new moment bowl burst print happen,0,0,1,0,0,0,1,0,0
1109/D,lesson sasha got bored decided talk friend suddenly saw kefa since talk endlessly kefa even start conversation turned graph kefa promised sasha tell interesting fact graph theory sasha help kefa count beautiful tree task tree weighted connected graph consisting vertex edge weight edge kefa determines beauty tree follows find tree favorite vertex vertex count distance distance vertex sum weight edge simple path distance vertex equal tree beautiful sasha like graph theory even sasha like interesting fact agreed help kefa luckily sasha familiar best programmer byteland help sasha count beautiful tree kefa tree considered distinct edge occurs occur edge weight matter kefa warned sasha many beautiful tree enough count modulo vertex tree maximum weight edge kefa favorite vertex print beautiful tree modulo,1,0,0,1,0,0,1,0,1
1109/E,egor like math long ago got highest degree recognition math community egor became red mathematician regard sasha decided congratulate egor give math test present test array length exactly query query type multiply range divide position divisibility guaranteed find sum element range sum big sasha asked egor calculate sum modulo mod since egor red mathematician enough time solve easy task time want anger sasha asked help find answer query type mod mod size array mod second array third query next satisfy following format mean must multiply range mean must divide position divisibility guaranteed mean must find sum element range guaranteed least query type query type print answer new modulo mod,1,0,0,0,0,0,1,0,0
1109/F,fine day sasha went park walk park saw favorite bench occupied sit neighboring sat began listen silence suddenly got question different part park silence sound different way let divide park meter square call cell numerate row column left right every cell described pair row column sasha know level silence cell equal form permutation sasha decided count many pleasant segment silence let take segment denote set cell segment silence pleasant simple path every pair cell path cell word set look like tree plain sasha done task pretty quickly called algorithm algorithm silence sound time passed thing left algorithm legend prove truthfulness story help sasha find different pleasant segment silence segment different time size park next level silence cell guaranteed different print pleasant segment silence,0,0,0,0,0,0,1,0,0
111/C,little petya love training spider petya board size cell board initially spider sitting second petya chooses certain action spider humbly perform command possible command stay idle move current cell side neighboring cell command possible direction petya give command spider leaf field allowed spider pa crawl towards opposite direction spider crawl simultaneously several spider end cell petya want know maximum possible spider free cell second space separated board size print maximum cell without spider,0,0,0,0,0,0,1,0,1
1110/A,given represented digit base radix example determine whether even odd base digit second digit representation unnecessary leading equal print even even otherwise print odd,1,0,0,0,0,0,0,0,0
1110/B,long stick consisting segment enumerated segment centimeter long sadly segment broken need repaired infinitely long repair tape want cut piece tape use cover broken segment precise piece tape length placed position cover segment allowed cover non broken segment possible piece tape overlap time money want cut continuous piece tape cover broken segment minimum total length piece broken segment length stick maximum piece use second position broken segment given increasing order print minimum total length piece,0,0,0,0,0,0,0,1,0
1110/C,greatest common divisor bitwise operation anything common time answer question suppose given positive want choose inclusive way greatest common divisor gcd large possible word like compute following function max gcd max agcd denotes bitwise xor operation denotes bitwise operation greatest common divisor largest divided without remainder given compute largest possible value greatest common divisor chosen optimally need compute answer given per need compute answer print answer order given input,1,1,0,0,0,0,0,0,0
1110/D,playing game jongmah need know rule solve problem tile hand tile written win game need form triple triple consists tile written tile either consecutive example valid triple use tile hand form triple tile used triple determine close win want know maximum triple form tile hand tile hand tile type second denotes written tile print maximum triple form,0,0,0,0,0,0,0,0,1
1110/E,grigory magic stone conveniently numbered charge stone equal sometimes grigory get bored selects inner stone stone index synchronizes neighboring stone chosen stone loses charge acquires charge neighboring stone word charge change andrew grigory friend stone charge grigory curious whether exists sequence synchronization operation transforms charge grigory stone charge corresponding andrew stone change magic stone second charge grigory stone second charge andrew stone exists possibly empty sequence synchronization operation change charge required print yes,1,1,0,0,0,0,0,1,0
1110/F,let define eulerian traversal tree connected undirected graph without cycle follows consider depth search algorithm traverse vertex tree enumerates order visiting visit vertex count function start vertex recursively run vertex connected edge current vertex visited increasing order formally describe function using following pseudocode nextid array length filled visited array length filled false function dfs visited true nextid nextid neighbor increasing order visited dfs given weighted tree vertex enumerated using algorithm described leaf vertex tree connected vertex tree given vertex leaf distance vertex tree sum weight edge simple path answer query following type given find shortest distance vertex leaf index inclusive vertex tree query respectively following denoting edge vertex weight guaranteed given edge form tree vertex enumerated eulerian traversal order vertex index leaf next describe query describing parameter query guaranteed least leaf index output answer query order given input,0,0,0,0,0,0,1,0,0
1110/G,tic tac toe game starting tree vertex vertex already colored white remaining uncolored player white black player make move alternatively white player start game turn player must select uncolored vertex paint color player win paint path vertex color case vertex colored neither player game end draw could please find win game whether end draw assuming player play optimally single test case description test case follow test single vertex tree following denoting edge tree connecting vertex last test case string letter white colored length denoting already colored vertex vertex already colored white denoted guaranteed given edge form tree least uncolored vertex path white vertex guaranteed sum test case every test case print either white draw black depending result game,0,1,0,0,0,0,1,0,0
1110/H,given let call modest find string length consisting digit largest possible substring make modest substring leading counted many answer find lexicographically smallest occurs multiple time substring counting modest substring counted multiple time well second third print maximum possible modest substring,0,0,0,0,0,1,0,0,1
1111/A,know superhero transform certain superheroes superheroes transform superhero superhero name transform another superhero name made equal changing vowel vowel consonant consonant multiple change made problem consider letter vowel letter consonant given name superheroes determine superhero name transformed superhero name string length inclusive second string length inclusive string guaranteed different consist lowercase english letter output yes without quote superhero name transformed superhero name without quote otherwise,0,0,0,0,0,1,0,0,0
1111/B,every superhero given power value felicity committee avenger crew want maximize average power superheroes team performing certain operation initially superheroes avenger team power respectively operation remove superhero team least increase power superhero operation particular superhero operation done help avenger team maximize average power crew superheroes maximum time increase power particular superhero total maximum operation second initial power superheroes cast avenger output single maximum final average power,1,0,0,1,0,0,0,0,0
1111/C,thanos want destroy avenger base need destroy avenger along base let represent base array position occupied many avenger avenger occupy position length base perfect power thanos want destroy base using minimum power start whole base step either following current length least divide base equal half destroy separately burn current base avenger take amount power otherwise take amount power avenger length current base output minimum power needed thanos destroy avenger base length base avenger constant explained question second represents position avenger base output minimum power needed destroy avenger base,1,0,1,1,0,0,0,0,0
1111/D,colony villain several hole aligned row hole exactly villain colony arrangement expressed string even length character string represents type villain hole iron man destroy colony colony arrangement villain certain type either live half colony second half colony assistant jarvis special power swap villain hole swap character string operation time iron man asks jarvis question question give jarvis jarvis tell iron man distinct colony arrangement create original using power villain type originally living hole hole live half iron man destroy colony arrangement colony arrangement considered different exists hole different type villain present hole arrangement string representing initial colony arrangement string lowercase uppercase english letter length even second single question next given jarvis question question output arrangement possible modulo,1,0,0,0,0,0,0,0,1
1111/E,given tree node query every query start followed node tree answer query assume tree rooted want divide given node group following condition met node exactly group group least node group distinct node node ancestor direct indirect need output way modulo every query vertex tree query respectively next denoting edge connecting vertex vertex guaranteed given graph tree next start min node maximum group root tree current query respectively followed distinct denoting node current query guaranteed sum query doe exceed print answer query,0,0,0,0,0,0,1,0,1
1113/A,sasha happy guy always move city country sasha life located straight convenience numbered increasing order distance adjacent city equal kilometer since road country directed possible reach city city sasha decided trip around country visit city move help car cheetah tank capacity model liter spends exactly liter fuel kilometer way beginning journey tank empty sasha located city want get city gas station city city price liter fuel dollar obvious moment time tank liter fuel sasha like waste money want know minimum amount money needed finish trip buy fuel city want help figure city country capacity tank print minimum amount money needed finish trip,1,0,0,0,0,0,0,1,1
1113/B,day sasha visited farmer famous magnetic farm farm crop grows due influence special magnetic field maintaining magnetic field provided machine power machine year decided cultivate new culture exactly say successful growth new culture necessary slightly change power machine choose arbitrary choose machine reduce power machine time time increase power another machine time power machine must stay positive note want formally choose index divisor change power following sasha curious want calculate minimum total power farmer reach many machine sasha cope computation help machine second power machine print minimum total power,1,0,0,0,0,0,0,1,0
1114/A,duck song simplicity assume type grape green grape purple grape black grape andrew dmitry michal grape lover preference grape different make happy following happen andrew dmitry michal eat least grape respectively andrew extreme affinity green grape thus eat green grape green grape hand dmitry fan black grape type grape except black would word dmitry eat green purple grape michal common taste enjoys grape general pleased type grape long quantity sufficient knowing friend fond grape aki decided host grape party prepared box green grape purple grape black grape aki sure box prepared enough grape make everyone happy please find whether possible distribute grape everyone happy aki buy grape required distribute grape possible remain unused grape andrew dmitry michal want eat second green purple black grape box grape distribution allows everyone happy print yes otherwise print,0,0,0,1,0,0,0,1,0
1114/B,array called subarray form continuous subsequence equal suppose known constant array element let define beauty sum largest element array example array largest element beauty array beauty given array value said constant need split array exactly subarrays element belongs exactly subarray subarray least element sum beauty subarrays maximum possible element constant definition beauty subarrays split second print maximum possible sum beauty subarrays optimal partition,0,1,0,0,0,0,0,1,0
1114/C,called loveoeuf precise literally mean egg french example denoting score game tennis aki fond especially trailing example trailing aki think trailing digit prettier aki belief trailing static depends base radix represented thus considers scenario base since used become quite bizarre asks help calculate beauty given decimal notation task calculate trailing digit ary base radix representation factorial input print trailing digit ary representation,1,0,0,1,0,0,0,0,0
1114/D,given colored square row numbered left right square initially color let say square belong connected component satisfying word square segment color example connected component connected component game flood fill played given follows start game pick starting square counted turn game turn change color connected component containing starting square color find minimum turn needed entire changed single color single square second initial color square print single minimum turn needed,0,0,0,0,0,0,0,0,1
1114/F,given array need perform query following type multiply every multiply totient print taken modulo denotes euler totient function euler totient function positive denoted gcd gcd element array query second element array follow describing query format given statement multiply denotes multiplication query totient denotes query value euler totient function guaranteed least totient query totient query print answer,1,0,0,0,0,0,1,0,0
1117/A,given array find subsegment maximum arithmetic mean floating point without rounding many subsegments find longest single length array second array print single length longest subsegment maximum possible arithmetic mean,1,0,0,0,0,0,0,0,0
1117/B,emotes popular digital collectible card game game pretty famous say name emote increase opponent happiness unit know emotes game used make opponent happy time use emotes time allowed use emotion use restriction use emote time row otherwise opponent think trolling note emotes considered different make opponent happy possible find maximum possible opponent happiness input emotes time use emotes maximum time use emote row second input value happiness emote print maximum opponent happiness use emotes way satisfying problem statement,1,0,0,0,0,0,0,1,0
1117/C,captain ship initially standing point obviously position sea described cartesian plane want travel point know weather forecast string length consisting letter letter corresponds direction wind moreover forecast periodic day wind blow side second day day day ship coordinate change following way wind blow direction ship move wind blow direction ship move wind blow direction ship move wind blow direction ship move ship either direction stay place day exactly unit distance transposition ship wind add ship stay place direction wind count example wind blow direction ship move direction point move point direction move point task determine minimal day required ship reach point initial coordinate ship second coordinate destination point guaranteed initial coordinate destination point coordinate different third single length string fourth string consisting letter minimal day required ship reach point,0,0,1,0,0,0,0,0,0
1117/D,reziba many magic gem magic gem split normal gem amount space magic normal gem take unit normal gem split reziba want choose set magic gem split total space occupied resulting set gem unit magic gem chosen split take unit space since split gem magic gem split take unit many different configuration resulting set gem reziba total amount space taken unit print answer modulo configuration considered different magic gem reziba take form differs index gem reziba split differ input single consisting print total configuration resulting set gem given total amount space taken unit print answer modulo,1,0,0,0,0,0,0,0,1
1117/E,interactive problem remember flush output communicating testing program use fflush stdout system flush java stdout flush python flush output pascal flush output use programming language consult documentation refer guide interactive problem http codeforces com blog entry given string consisting lowercase latin letter string cyphered follows initially jury string consisting lowercase latin letter applied sequence possibly operation operation denoted mean swapping element string index operation done order placed sequence example xyz following operation performed operation current string yxz second operation current string yzx yzx asked restore original string unfortunately information operation used algorithm even know operation sequence run sequence operation string want provided lowercase latin letter length get resulting string operation guess original string asking testing system run sequence swap time string sequence swap fixed test interactor try adapt test solution initially testing system sends string consisting lowercase latin letter give answer program print break end flush output terminate gracefully,1,1,0,0,0,0,0,0,0
1117/F,given string length character lowercase latin letter given matrix binary value size matrix symmetric mean string letter latin alphabet adjacent let call string crisp adjacent character adjacent corresponding cell matrix allowed following move choose letter remove occurrence join remaining part string without changing order example removing letter abacaba yield bcb string given crisp string remain crisp every move make allowed arbitrary move possible shortest resulting string obtain length initial string length allowed prefix latin alphabet second initial string guaranteed lowercase latin letter crisp latin letter might present string next matrix mean string letter latin alphabet adjacent print single length shortest string make arbitrary move possible,0,0,0,0,0,0,0,0,1
1117/G,given permutation answer query query pair calculate let denote position maximum subsegment otherwise size permutation query second pairwise distinct permutation third part query fourth second part query guaranteed query print value corresponding query,0,0,0,0,0,0,1,0,0
1118/A,polycarp want cook soup need buy exactly liter water type water bottle nearby shop liter bottle liter bottle infinitely many bottle type shop bottle type cost burles bottle second type cost burles correspondingly polycarp want spend money possible task find minimum amount money burles polycarp need buy exactly liter water nearby shop bottle type cost burles bottle second type cost burles answer independent query input query next query query given space separated many liter polycarp need query cost burles bottle type query cost burles bottle second type query respectively print equal minimum amount money burles polycarp need buy exactly liter water nearby shop bottle type cost burles bottle second type cost burles,1,0,0,0,0,0,0,0,0
1118/B,tanya candy numbered candy weight plan eat exactly candy give remaining candy dad tanya eats candy order increasing exactly candy per day task find candy let call candy good dad get candy sum weight candy tanya eats even day equal sum weight candy tanya eats odd day note give candy eat remaining candy example weight consider possible case give candy dad tanya give candy dad remaining candy eat day second day third day odd day eat even day eat since case counted answer candy good tanya give candy dad remaining candy eat day second day third day odd day eat even day eat since case counted answer candy good tanya give candy dad remaining candy eat day second day third day odd day eat even day eat since case counted answer candy good tanya give candy dad remaining candy eat day second day third day odd day eat even day eat since case counted answer candy good total case counted candy good answer input candy second input weight candy print candy good candy dad get candy sum weight candy tanya eats even day equal sum weight candy tanya eats odd day,0,0,0,0,0,0,0,0,0
1118/C,let call square matrix value cell palindromic change order row reversed change order column reversed example following matrix palindromic following matrix palindromic change order row reversed following matrix palindromic change order column reversed given put matrix row column used exactly cell exactly resulting matrix palindromic multiple answer print solution print second put matrix row column possible put matrix row column used exactly cell exactly resulting matrix palindromic print yes print space separated resulting matrix,0,1,0,0,0,0,0,0,0
1118/D1,difference easy hard version constraint polycarp write coursework coursework consists page polycarp cup coffee coffee cup caffeine polycarp drink cup coffee drink cup order polycarp drink cup instantly completely split cup several day surely coursework usually written single day perfect world berland least require multiple day hard work let consider day polycarp work consider polycarp drink cup coffee day caffeine dosage cup polycarp drink day cup drink give energy write page coursework second cup give energy write max page third cup give energy write max page cup give energy write max page polycarp drink coffee day write coursework day polycarp finish coursework soon possible spend minimum day task find day say impossible input cup coffee page coursework second input caffeine dosage coffee cup impossible write coursework print otherwise print minimum day polycarp need,0,0,0,1,0,0,0,1,0
1118/D2,difference easy hard version constraint polycarp write coursework coursework consists page polycarp cup coffee coffee cup polycarp caffeine polycarp drink cup coffee drink cup order polycarp drink cup instantly completely split cup several day surely coursework written single day perfect world berland least let consider day polycarp work consider polycarp drink cup coffee day caffeine dosage cup polycarp drink day cup drink give energy write page coursework second cup give energy write max page third cup give energy write max page cup give energy write max page polycarp drink coffee day write coursework day polycarp finish coursework soon possible spend minimum day task find day say impossible input cup coffee page coursework second input caffeine dosage coffee cup impossible write coursework print otherwise print minimum day polycarp need,0,0,1,0,0,0,0,1,0
1118/E,king berland organizes ball pair invited ball numbered pair consists man woman dancer either man woman monochrome costume color costume represented inclusive let color man costume color woman costume pair choose color dancer costume value way every inclusive completely identical pair index time pair color man costume color woman costume pair every consecutive adjacent pair man costume color woman costume color differ every condition hold let take look example bad good color choosing man pair woman second bad color choosing contradiction second rule equal pair contradiction third rule pair costume color contradiction fourth rule consecutive pair color costume men woman good color choosing find suitable color choosing say suitable choosing exists input pair color impossible find suitable color choosing print,0,1,0,0,0,0,0,0,0
1118/F1,given undirected tree vertex vertex colored blue colored red uncolored guaranteed tree least red vertex least blue vertex choose edge remove tree tree fall apart connected component let call edge nice neither resulting component vertex red blue color many nice edge given tree single vertex tree second color vertex mean vertex colored red mean vertex colored blue mean vertex uncolored next edge tree guaranteed given edge form tree guaranteed tree least red vertex least blue vertex print single nice edge given tree,0,0,0,0,0,0,1,0,0
1118/F2,given undirected tree vertex vertex colored color uncolored guaranteed tree least vertex color might uncolored vertex choose subset exactly edge remove tree tree fall apart connected component let call subset edge nice none resulting component vertex different color many nice subset edge given tree subset considered different edge present subset absent answer large print modulo vertex tree color respectively second color vertex mean vertex uncolored value mean vertex colored color next edge tree guaranteed given edge form tree guaranteed tree least vertex color might uncolored vertex print single nice subset edge given tree subset considered different edge present subset absent,1,0,0,0,0,0,1,0,1
1119/A,ilya life beautiful city chordalsk house street ilya life numerated left right distance every neighboring house equal unit neighboring house house neighboring house colored color house colored color everyone know chordalsk boring least house colored different color ilya want select house different color walk house house distance unit ilya love long walk want choose house distance maximum possible help ilya find maximum possible distance single city street second color house guaranteed least pair index print single maximum possible distance ilya walk,0,0,0,0,0,0,0,1,0
1119/B,alyona recently bought miniature fridge represented matrix row column initially shelf bottom fridge alyona install arbitrary shelf inside fridge row shelf cell wide doe occupy space separate inside fridge lower upper part example fridge shelf shelf shown black picture corresponds example alyona bottle milk want put fridge bottle cell tall cell wide put bottle shelf corresponding space shelf least tall bottle put bottle top another bottle shelf bottle share cell alyona interested largest put bottle fridge time find largest bottle height fridge second height bottle print single maximum alyona put bottle fridge time alyona put bottle fridge print easy see alyona always put least bottle fridge,0,0,1,0,0,0,0,1,0
1119/C,ramesses came university algorithm practice professor fairly known programmer gave following task given matrix size consists apply following operation matrix arbitrary time take submatrix matrix least row column invert value corner corner submatrix replaced corner submatrix replaced answer whether obtain matrix matrix example operation chosen submatrix shown blue yellow corner shown yellow ramesses want perform operation asks answer question submatrix matrix matrix consist element come row index matrix column index matrix edge row column submatrix word submatrix set element source matrix form solid rectangle without hole side parallel side original matrix corner submatrix cell cell denotes cell intersection row column row column matrix next element row matrix next element row matrix print yes without quote possible transform matrix matrix using operation described without quote possible print letter case upper lower,1,1,0,0,0,0,0,1,0
1119/D,miyako came flea kingdom ukulele became good friend local flea resident played beautiful music every day return flea made bigger ukulele string string fret numerated flea use array describe ukulele tuning pitch fret string miyako leave kingdom flea hope miyako answer last question question form many different pitch consider fret inclusive string miyako visit cricket kingdom time answer question please help task formally given matrix row column cell row column answer query query answer distinct matrix column inclusive string second tuning ukulele third question following question flea output question separated space different pitch,0,0,1,0,0,0,0,1,0
1119/E,pavel several stick length equal power stick length stick length stick length pavel want make maximum possible triangle using stick triangle strictly positive area stick used triangle forbidden break stick triangle consist exactly stick find maximum possible triangle single different length stick second stick length equal print single maximum possible non degenerate triangle pavel make,0,0,1,1,0,0,0,1,1
1119/F,niyaz tree vertex numerated tree connected graph without cycle edge tree strictly positive weight degree vertex edge adjacent vertex niyaz doe like vertex tree large degree want find smallest total weight set edge deleted degree vertex become single vertex niyaz tree next index vertex connected edge weight respectively guaranteed given edge form tree print print smallest total weight set edge deletes edge set degree vertex become equal,0,0,0,0,0,0,1,0,1
1119/G,recently evlampy installed interesting computer game aspect split army several group fight enemy group let consider simplified version battle nearest battle evlampy fight enemy army consists group health point evlampy army consists equal soldier battle split army exactly group possibly empty total size group battle played step step step evlampy group attack exactly enemy group thus step described array meaning evlampy group attack enemy group different group attack group step array chosen independently step health point enemy group decrease total soldier evlampy group attacked enemy group step enemy group destroyed health point negative evlampy soldier lose health example step green circle represent soldier evlampy group arrow represent attack red circle represent health point enemy group blue represent much health point decrease step evlampy understands upcoming battle take whole night became sad way enough time finish homework evlampy want write program help win smallest possible step help word find smallest step needed destroy enemy group show possible way find requires splitting army group array step soldier evlampy army group enemy army equal maximum possible group evlampy split army second health point enemy group guaranteed sum doe exceed print single minimum possible step needed win battle,0,1,0,0,0,0,0,0,0
1119/H,received birthday gift triple greater equal strictly smaller fixed day felt tired playing triple came new formed array array consists repeated time repeated time repeated time thus array length want choose exactly array xor bitwise exclusive equal output way choose inclusive modulo array binary length second chose follow forming array print single containing way choose exactly array xor equal modulo,1,0,0,0,0,0,0,0,0
1120/A,holiday spring town shortriver traditionally conduct flower festival townsfolk wear traditional wreath festival wreath exactly flower work material wreath citizen shortriver cut longest flowered liana grew town year liana sequence denotes type flower position year liana long mean every citizen get wreath soon liana inserted special cutting machine order make work material wreath machine work simple manner cut flower beginning liana another flower piece flower called workpiece machine work flower liana diana found weaving schematic beautiful wreath imaginable order weave flower must flower type type type appears sequence several time least many flower type occurrence flower sequence order flower workpiece doe matter diana chance remove flower liana inserted cutting machine remove flower part liana without breaking liana piece diana remove many flower happen citizen get wreath could flower removed liana least workpiece would conform schematic machine would still able create least workpiece flower liana flower wreath amount citizen length diana flower sequence respectively second type flower liana third sequence diana schematic impossible remove flower would least workpiece least fullfills diana schematic requirement output,0,0,1,0,0,0,0,1,0
1120/B,player came casino found slot machine everything depends play rule follow positive initially screen player put coin machine add subtract adjacent digit digit must remain operation leading digit must equal word forbidden add subtract subtract leading screen becomes equal player win jackpot digit help player determine minimal coin need spend order win jackpot tell play single standing length next separate impossible win jackpot print single,1,1,0,0,0,0,0,1,0
1120/C,suppose given string length consisting lowercase english letter need compress using smallest possible coin compress string represent concatenation several non empty string string encoded way meaning current string consists single character encode paying coin substring encode paying coin string substring string obtained deletion several possibly character beginning several possibly character end task calculate minimum possible coin need spend order compress given string positive separated space length string cost compress character string cost compress string appeared second single string consisting lowercase english letter output single smallest possible coin need spend compress,0,0,0,0,0,1,0,0,1
1120/D,given rooted tree vertex root tree vertex vertex non negative price leaf tree non root vertex degree arkady vasily play strange game tree game consists stage stage arkady buy non empty set vertex tree second stage vasily put leaf tree third stage arkady perform several possibly none operation following kind choose vertex bought stage add leaf subtree positive negative leaf subtree vertex simple path root arkady task make leaf equal minimum total cost pay stage guarantee win independently vasily put second stage ask find vertex optimal cost set vertex containing arkady guarantee win buying set stage single vertex tree second price vertex next denoting edge tree print minimum possible cost arkady pay guarantee win vertex belong least optimal set,0,0,0,0,0,0,1,1,1
1120/E,positive given baron munchausen claim know positive multiplies sum digit decrease time word denotes sum digit find baron told true single print,0,0,0,1,0,0,0,0,0
1120/F,little little decided send letter regarding important event day event day time moment something happens person either denoting little little respectively need immediately send letter person send letter using way ask friendly deliver letter directly friendly take acorn letter leave letter wise den wise value free space take acorn storing letter time segment length recipient take letter wise either leaf letter wise den time moment everybody come wise tea possible take letter wise den time moment friend store many letter wise den want paying separately help friend determine minimum possible total cost sending letter letter cost storing letter time unit wise den cost delivering letter via friendly next describe event character either time event happens person event happens last single time everybody come wise tea take remaining letter guaranteed print single minimum possible cost delivery letter,0,0,0,0,0,0,1,1,1
1121/A,everybody know coder tournament happen soon school participate tournament student school participates total student school tournament student put name name school technogoblet fire technogoblet selects strongest student school participate arkady hacker want chosen selected technogoblet unfortunately strongest school arkady make new school name replace name technogoblet use made name case technogoblet would select strongest student made school know power student school study calculate minimal school arkady make chosen would selected technogoblet total student school chosen second different denotes power student bigger power stronger student third denotes school student least student study school fourth different chosen output single minimal school made arkady chosen would selected technogoblet,0,0,0,0,0,0,0,1,0
1121/B,mike decided teach programming child elementary school know easy task interest child age code decided give child sweet mike sweet size sweet different size pair since mike taught many year know give sweet size child another child smaller sum size upset child different sum sweet upset apparently mike doe want somebody upset mike want invite child giving sweet obviously give sweet child goal invite many child since mike busy preparing lecture elementary school asking find maximum child invite giving sweet way nobody upset sweet mike second size sweet guaranteed distinct print maximum child mike invite giving sweet way nobody upset,0,0,0,1,0,0,0,0,0
1121/C,vasya like taking part codeforces contest round vasya follows submission system testing tab solution tested test testing solution test take second solution judged order testing process test solution simultaneously test solution time time moment testing process judging solution take solution queue test test increasing order test let solution tested test time moment till time moment second test till time moment solution fully tested time moment testing process immediately start testing another solution consider time moment let exactly fully tested solution moment caption system testing page solution calculated round round round function map every real nearest vasya call submission interesting time moment possibly non solution tested test caption say system testing find interesting solution please note case multiple process attempt take submission queue moment instance initial moment order take solution doe matter positive standing submission testing process respectively second positive equal test submission run output interesting submission,0,0,0,0,0,0,0,0,0
1129/A1,simplified version task toy train version differ constraint hack version disabled alice received set toy train bob consists train connected railway network station enumerated train occupies station time travel around network station circular manner precisely immediate station train visit station station station take train second travel next station described bob gave alice fun task left deliver candy initially station independent destination using train candy enumerated candy station delivered station blue candy correspond value image corresponds example train infinite capacity possible load candy station candy loaded station onto train leaf station choose candy station time take move candy negligible alice wonder much time needed train deliver candy task find station minimum time train would need deliver candy start space separated station candy respectively following space separated station initially candy destination station candy respectively print space separated minimum time second train would need deliver candy start station,0,0,0,1,0,0,0,1,0
1129/A2,alice received set toy train bob consists train connected railway network station enumerated train occupies station time travel around network station circular manner precisely immediate station train visit station station station take train second travel next station described bob gave alice fun task left deliver candy initially station independent destination using train candy enumerated candy station delivered station blue candy correspond value image corresponds example train infinite capacity possible load candy station candy loaded station onto train leaf station choose candy station time take move candy negligible alice wonder much time needed train deliver candy task find station minimum time train would need deliver candy start space separated station candy respectively following space separated station initially candy destination station candy respectively print space separated minimum time second train would need deliver candy start station,0,0,0,1,0,0,0,1,0
1129/B,consider following problem given array containing indexed find max max problem attempt solve problem described alice quickly came blazing fast greedy algorithm coded implementation pseudocode follows function findanswer assumes inclusive assumes list containing cur cur cur cur cur max cur return see alice idea entirely correct example suppose findanswer would return correct answer told alice solution incorrect believe said given find sequence correct answer answer produced alice algorithm differ exactly note although choice content sequence must still follow constraint earlier given absolute value element doe exceed sequence determine sought sequence print,0,1,0,0,0,0,0,0,0
1129/C,morse code letter english alphabet represented string length moreover morse code representation english letter dot dash task represent dot dash string length containing correspond english letter particular string length translates distinct english letter except following string correspond english alphabet work string initially empty time either dot dash appended time task find report modification string non empty sequence english letter represented substring morse code since answer incredibly tremendous print modulo modification next either representing dot representing dash specifying character appended print answer modification,0,0,1,0,0,1,1,1,1
